Estado,Municipio,División,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,ROSALES,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,ROSARIO,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,SAN FRANCISCO DE BORJA,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,SAN FRANCISCO DE CONCHOS,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,SAN FRANCISCO DEL ORO,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,SANTA BARBARA,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,SANTA ISABEL,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,SATEVO,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,SAUCILLO,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,TEMOSACHIC,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,URIQUE,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,URUACHI,NORTE,,,,,,,,,,,,,,,,,,,,,,
CHIHUAHUA,VALLE DE ZARAGOZA,NORTE,,,,,,,,,,,,,,,,,,,,,,
CIUDAD DE MÉXICO,ALVARO OBREGON,VALLE DE MÉXICO NORTE,,,,,,,,,,,,,,,,,,,,,,
CIUDAD DE MÉXICO,AZCAPOTZALCO,VALLE DE MÉXICO NORTE,,,,,,,,,,,,,,,,,,,,,,
CIUDAD DE MÉXICO,AZCAPOTZALCO,VALLE DE MÉXICO CENTRO,,,,,,,,,,,,,,,,,,,,,,
CIUDAD DE MÉXICO,BENITO JUAREZ,VALLE DE MÉXICO CENTRO,,,,,,,,,,,,,,,,,,,,,,
CIUDAD DE MÉXICO,COYOACAN,VALLE DE MÉXICO SUR,,,,,,,,,,,,,,,,,,,,,,
CIUDAD DE MÉXICO,CUAJIMALPA DE MORELOS,VALLE DE MÉXICO CENTRO,,,,,,,,,,,,,,,,,,,,,,
CIUDAD DE MÉXICO,CUAJIMALPA DE MORELOS,VALLE DE MÉXICO SUR,,,,,,,,,,,,,,,,,,,,,,
CIUDAD DE MÉXICO,CUAUHTEMOC,VALLE DE MÉXICO CENTRO,,,,,,,,,,,,,,,,,,,,,,
CIUDAD DE MÉXICO,GUSTAVO A. MADERO,VALLE DE MÉXICO CENTRO,,,,,,,,,,,,,,,,,,,,,,
CIUDAD DE MÉXICO,GUSTAVO A. MADERO,VALLE DE MÉXICO NORTE,,,,,,,,,,,,,,,,,,,,,,
CIUDAD DE MÉXICO,IZTACALCO,VALLE DE MÉXICO CENTRO,,,,,,,,,,,,,,,,,,,,,,
CIUDAD DE MÉXICO,IZTAPALAPA,VALLE DE MÉXICO CENTRO,,,,,,,,,,,,,,,,,,,,,,
CIUDAD DE MÉXICO,IZTAPALAPA,VALLE DE MÉXICO SUR,,,,,,,,,,,,,,,,,,,,,,
CIUDAD DE MÉXICO,LA MAGDALENA CONTRERAS,VALLE DE MÉXICO SUR,,,,,,,,,,,,,,,,,,,,,,
CIUDAD DE MÉXICO,MIGUEL HIDALGO,VALLE DE MÉXICO CENTRO,,,,,,,,,,,,,,,,,,,,,,
CIUDAD DE MÉXICO,MIGUEL HIDALGO,VALLE DE MÉXICO NORTE,,,,,,,,,,,,,,,,,,,,,,
CIUDAD DE MÉXICO,MILPA ALTA,VALLE DE MÉXICO SUR,,,,,,,,,,,,,,,,,,,,,,
CIUDAD DE MÉXICO,TLAHUAC,VALLE DE MÉXICO SUR,,,,,,,,,,,,,,,,,,,,,,
CIUDAD DE MÉXICO,TLALPAN,VALLE DE MÉXICO SUR,,,,,,,,,,,,,,,,,,,,,,
CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VALLE DE MÉXICO CENTRO,,,,,,,,,,,,,,,,,,,,,,
CIUDAD DE MÉXICO,XOCHIMILCO,VALLE DE MÉXICO SUR,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,ABASOLO,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,ACUNA,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,ALLENDE,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,ARTEAGA,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,CANDELA,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,CASTANOS,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,CUATRO CIENEGAS,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,ESCOBEDO,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,FRANCISCO I. MADERO,NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,FRONTERA,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,GENERAL CEPEDA,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,GUERRERO,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,HIDALGO,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,JIMENEZ,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,JUAREZ,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,LAMADRID,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,MATAMOROS,NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,MONCLOVA,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,MORELOS,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,MUZQUIZ,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,NADADORES,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,NAVA,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,OCAMPO,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,OCAMPO,NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,PARRAS,BAJÍO,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,PARRAS,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,PARRAS,NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,PIEDRAS NEGRAS,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,PROGRESO,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,RAMOS ARIZPE,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,SABINAS,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,SACRAMENTO,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,SALTILLO,BAJÍO,,,,,,,,,,,,,,,,,,,,,,
